Match_ID,Season,Match_Type,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Team1_Score,Team1_Wickets,Team1_Overs_Played,Team2_Score,Team2_Wickets,Team2_Overs_Played,Match_Winner,Win_By,Win_Margin,Man_of_the_Match,Stadium_Attendance
1043,2018,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Field,172,7,16.9,191,3,16.4,Rajasthan Royals,Wickets,7,Andre Russell,26813
1044,2018,League,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Bat,207,7,19.1,215,8,16,Sunrisers Hyderabad,Wickets,2,Pat Cummins,40690
1045,2018,League,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Bat,130,9,19,194,9,18.6,Royal Challengers Bangalore,Wickets,1,Kane Williamson,21056
1046,2018,League,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Bat,218,7,19.2,200,9,12.7,Chennai Super Kings,Runs,18,Yuzvendra Chahal,56616
1047,2018,League,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Bat,166,7,17,182,9,19.8,Sunrisers Hyderabad,Wickets,1,Hardik Pandya,16585
1048,2018,League,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,Field,138,10,18.3,126,8,18.1,Rajasthan Royals,Runs,12,Kane Williamson,57554
1049,2018,League,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Field,203,3,17.2,157,4,18.9,Sunrisers Hyderabad,Runs,46,David Warner,58023
1050,2018,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Field,138,8,19.8,143,3,19.6,Kolkata Knight Riders,Wickets,7,Ishan Kishan,25834
1051,2018,League,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Bat,180,6,16.5,187,3,17.3,Mumbai Indians,Wickets,7,Faf du Plessis,49335
1052,2018,League,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,Field,193,3,15.1,211,7,15.6,Kolkata Knight Riders,Wickets,3,Virat Kohli,40602
1053,2018,League,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Bat,197,10,15.2,205,3,19.8,Chennai Super Kings,Wickets,7,David Warner,57192
1054,2018,League,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Rajasthan Royals,Gujarat Titans,Field,174,10,19.2,191,4,19.4,Rajasthan Royals,Wickets,6,Rashid Khan,46777
1055,2018,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Bat,188,3,18,215,9,15.6,Rajasthan Royals,Wickets,1,Virat Kohli,33567
1056,2018,League,"Eden Gardens, Kolkata",Kolkata Knight Riders,Punjab Kings,Punjab Kings,Bat,158,7,16,178,7,19.9,Punjab Kings,Wickets,3,Sunil Narine,49959
1057,2018,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,Field,187,3,15.9,208,7,17.8,Lucknow Super Giants,Wickets,3,Sunil Narine,20128
1058,2018,League,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat,172,5,16.2,134,10,12.2,Rajasthan Royals,Runs,38,AB de Villiers,42578
1059,2018,League,"Eden Gardens, Kolkata",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Bat,189,4,18.8,185,4,14.5,Kolkata Knight Riders,Runs,4,Yuzvendra Chahal,19389
1060,2019,League,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Bat,197,10,18.1,157,5,18.2,Kolkata Knight Riders,Runs,40,Rishabh Pant,47804
1061,2019,League,"BRSABV Ekana Stadium, Lucknow",Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,Field,201,3,19.2,154,8,12.4,Lucknow Super Giants,Runs,47,Kane Williamson,22665
1062,2019,League,"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Bat,212,3,15.9,151,4,18.2,Mumbai Indians,Runs,61,Virat Kohli,35896
1063,2019,League,"BRSABV Ekana Stadium, Lucknow",Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,Field,154,6,18.5,220,10,15.2,Punjab Kings,Wickets,0,Rohit Sharma,41654
1064,2019,League,"IS Bindra Stadium, Mohali",Punjab Kings,Royal Challengers Bangalore,Punjab Kings,Field,186,9,17.4,144,6,13.9,Punjab Kings,Runs,42,Faf du Plessis,39678
1065,2019,League,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bat,207,7,19,208,8,17.1,Mumbai Indians,Wickets,2,KL Rahul,41488
1066,2019,League,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Gujarat Titans,Rajasthan Royals,Bat,181,9,16,210,8,16.6,Gujarat Titans,Wickets,2,Jos Buttler,40029
1067,2019,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Bat,211,5,15.2,156,3,18,Royal Challengers Bangalore,Runs,55,AB de Villiers,33920
1068,2019,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,214,7,19.6,217,4,16,Mumbai Indians,Wickets,6,Sunil Narine,57062
1069,2019,League,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,Field,147,8,18.8,212,9,15,Lucknow Super Giants,Wickets,1,Hardik Pandya,59627
1070,2019,League,"BRSABV Ekana Stadium, Lucknow",Lucknow Super Giants,Gujarat Titans,Gujarat Titans,Field,130,3,15.2,127,7,15,Lucknow Super Giants,Runs,3,Rohit Sharma,55702
1071,2019,League,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Bat,213,4,18,126,9,15.3,Delhi Capitals,Runs,87,Sanju Samson,15630
1072,2019,League,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Mumbai Indians,Field,158,7,17.6,178,7,16.4,Chennai Super Kings,Wickets,3,Rohit Sharma,42436
1073,2019,League,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Punjab Kings,Punjab Kings,Field,189,3,19.8,184,5,14.5,Delhi Capitals,Runs,5,Sanju Samson,48379
1074,2019,League,"BRSABV Ekana Stadium, Lucknow",Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,142,5,17.6,169,10,16.7,Sunrisers Hyderabad,Wickets,0,MS Dhoni,48383
1075,2019,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Bat,142,4,19.6,202,10,17,Mumbai Indians,Wickets,0,MS Dhoni,21138
1076,2019,League,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,Bat,184,3,18.5,194,5,17.4,Royal Challengers Bangalore,Wickets,5,Jasprit Bumrah,32462
1077,2019,League,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,Bat,217,7,19.7,195,6,15.3,Sunrisers Hyderabad,Runs,22,Rishabh Pant,17081
1078,2019,League,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,Bat,135,9,15.9,129,7,13.5,Delhi Capitals,Runs,6,Virat Kohli,47211
1079,2019,League,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Field,178,9,15.7,211,8,17.5,Sunrisers Hyderabad,Wickets,2,Yuzvendra Chahal,57389
1080,2019,League,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,216,7,15.8,156,8,19,Gujarat Titans,Runs,60,David Warner,29131
1081,2019,League,"IS Bindra Stadium, Mohali",Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,Bat,225,8,15.6,140,5,15.7,Punjab Kings,Runs,85,Faf du Plessis,44301
1082,2019,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Bat,130,6,15.6,128,8,16,Royal Challengers Bangalore,Runs,2,KL Rahul,36854
1083,2019,League,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,Bat,226,3,17.5,222,8,14.2,Gujarat Titans,Runs,4,Ishan Kishan,36962
1084,2019,League,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,Gujarat Titans,Chennai Super Kings,Field,192,9,16.7,174,6,19.1,Chennai Super Kings,Runs,18,KL Rahul,17003
1085,2019,League,"BRSABV Ekana Stadium, Lucknow",Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,Bat,149,3,19.9,209,8,18.4,Rajasthan Royals,Wickets,2,Sanju Samson,53050
1086,2019,League,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Bat,142,6,18.7,219,8,17.9,Chennai Super Kings,Wickets,2,Yuzvendra Chahal,29133
1087,2019,League,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,201,3,18.7,168,10,17,Mumbai Indians,Runs,33,Kane Williamson,27903
1088,2019,League,"IS Bindra Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,Bat,182,4,18.1,215,3,17.1,Chennai Super Kings,Wickets,7,AB de Villiers,44944
1089,2020,League,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,Bat,181,4,17.7,177,3,14.6,Delhi Capitals,Runs,4,Yuzvendra Chahal,41423
1090,2020,League,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Rajasthan Royals,Rajasthan Royals,Bat,207,7,19.8,158,5,19.5,Gujarat Titans,Runs,49,Ishan Kishan,51092
1091,2020,League,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,Bat,207,4,19.3,164,6,16.8,Gujarat Titans,Runs,43,Rashid Khan,50686
1092,2020,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,Field,197,9,16.6,173,10,19.2,Royal Challengers Bangalore,Runs,24,Shikhar Dhawan,27084
1093,2020,League,"Wankhede Stadium, Mumbai",Mumbai Indians,Gujarat Titans,Gujarat Titans,Bat,161,4,15.6,144,9,15.6,Mumbai Indians,Runs,17,Jasprit Bumrah,55507
1094,2020,League,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Bat,196,9,18.7,144,4,15.9,Sunrisers Hyderabad,Runs,52,Sunil Narine,50733
1095,2020,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,Field,213,7,19.9,130,7,18,Royal Challengers Bangalore,Runs,83,AB de Villiers,44379
1096,2020,League,"Eden Gardens, Kolkata",Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,Field,148,8,17,166,4,15.2,Gujarat Titans,Wickets,6,Virat Kohli,29318
1097,2020,League,"BRSABV Ekana Stadium, Lucknow",Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,Bat,222,3,18.6,215,3,19.7,Lucknow Super Giants,Runs,7,Ishan Kishan,32850
1098,2020,League,"IS Bindra Stadium, Mohali",Punjab Kings,Gujarat Titans,Gujarat Titans,Bat,151,5,18.6,132,6,14.1,Punjab Kings,Runs,19,Yuzvendra Chahal,26613
1099,2020,League,"BRSABV Ekana Stadium, Lucknow",Lucknow Super Giants,Gujarat Titans,Gujarat Titans,Field,133,8,19.2,186,8,18.2,Gujarat Titans,Wickets,2,Rishabh Pant,41608
1100,2020,League,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Field,188,10,19.9,216,5,18.4,Kolkata Knight Riders,Wickets,5,David Warner,34957
1101,2020,League,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,Field,161,5,17.6,217,10,15.7,Sunrisers Hyderabad,Wickets,0,Virat Kohli,34512
1102,2020,League,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field,137,10,17.5,131,5,13.9,Chennai Super Kings,Runs,6,Faf du Plessis,49617
1103,2020,League,"BRSABV Ekana Stadium, Lucknow",Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,Field,191,7,19.2,176,8,19.2,Lucknow Super Giants,Runs,15,Pat Cummins,57668
1104,2020,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,Bat,201,3,17.5,128,5,12.2,Royal Challengers Bangalore,Runs,73,Andre Russell,29911
1105,2020,League,"IS Bindra Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,Field,136,3,19,200,5,18.6,Chennai Super Kings,Wickets,5,Shikhar Dhawan,27481
1106,2020,League,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,Bat,178,4,18.6,188,9,15.1,Sunrisers Hyderabad,Wickets,1,Faf du Plessis,20699
1107,2020,League,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Field,160,6,17.1,212,10,16.1,Royal Challengers Bangalore,Wickets,0,Yuzvendra Chahal,51186
1108,2020,League,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Field,164,7,16.6,207,7,17.5,Rajasthan Royals,Wickets,3,Faf du Plessis,52833
1109,2020,League,"IS Bindra Stadium, Mohali",Punjab Kings,Royal Challengers Bangalore,Punjab Kings,Field,180,7,17.1,182,8,17.1,Royal Challengers Bangalore,Wickets,2,Hardik Pandya,44117
1110,2020,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Bat,223,9,16.9,129,5,18.8,Royal Challengers Bangalore,Runs,94,Sunil Narine,46233
1111,2020,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,Bat,207,8,18.3,221,9,19.1,Gujarat Titans,Wickets,1,KL Rahul,52985
1112,2020,League,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Delhi Capitals,Delhi Capitals,Field,147,10,17.3,123,4,12.5,Rajasthan Royals,Runs,24,Andre Russell,18159
1113,2020,League,"IS Bindra Stadium, Mohali",Punjab Kings,Rajasthan Royals,Rajasthan Royals,Bat,162,9,16.5,176,8,15.6,Rajasthan Royals,Wickets,2,Pat Cummins,21201
1114,2020,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Bat,229,8,18.6,198,7,19.3,Royal Challengers Bangalore,Runs,31,AB de Villiers,35173
1115,2020,League,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Bat,179,8,18.1,157,10,18.8,Rajasthan Royals,Runs,22,Hardik Pandya,53840
1116,2020,League,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Bat,219,3,18.3,202,5,16.4,Chennai Super Kings,Runs,17,Rashid Khan,41735
1117,2020,League,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,Field,159,10,16.9,170,9,15.6,Delhi Capitals,Wickets,1,Hardik Pandya,55954
1118,2020,League,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,Bat,161,5,15.9,165,10,16.9,Delhi Capitals,Wickets,0,Hardik Pandya,19290
1119,2021,League,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Punjab Kings,Rajasthan Royals,Field,217,5,16.3,162,9,12.2,Rajasthan Royals,Runs,55,Hardik Pandya,36700
1120,2021,League,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Bat,144,9,15.4,156,9,17.8,Lucknow Super Giants,Wickets,1,Hardik Pandya,19229
1121,2021,League,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field,205,7,15.9,162,5,13.7,Sunrisers Hyderabad,Runs,43,MS Dhoni,51827
1122,2021,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,Field,211,9,17.5,121,3,13.7,Royal Challengers Bangalore,Runs,90,Pat Cummins,31882
1123,2021,League,"Eden Gardens, Kolkata",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Bat,225,7,15.9,126,9,17.6,Kolkata Knight Riders,Runs,99,Sunil Narine,34319
1124,2021,League,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,Gujarat Titans,Gujarat Titans,Field,169,10,15.5,137,7,15,Chennai Super Kings,Runs,32,Rashid Khan,20656
1125,2021,League,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,209,6,15.4,215,9,18.4,Royal Challengers Bangalore,Wickets,1,AB de Villiers,44133
1126,2021,League,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Delhi Capitals,Delhi Capitals,Field,217,7,16.1,191,6,14.9,Gujarat Titans,Runs,26,Rashid Khan,35070
1127,2021,League,"Eden Gardens, Kolkata",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Bat,219,4,18.7,179,8,12.4,Kolkata Knight Riders,Runs,40,Ishan Kishan,57000
1128,2021,League,"IS Bindra Stadium, Mohali",Punjab Kings,Chennai Super Kings,Punjab Kings,Bat,134,8,16.3,125,9,18,Punjab Kings,Runs,9,Jos Buttler,53497
